TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
org.myrobotlab.io.Zip,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5076079944207597,784,444,46,64,0.22285714285714286
org.myrobotlab.io.FindFile,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7947980604230604,396,321,40,87,0.41346153846153844
org.myrobotlab.string.StringUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8184499685321232,786,677,51,78,0.7049180327868853
org.myrobotlab.sensor.EncoderData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,44,42,1,4,1.0
org.myrobotlab.mqtt.MqttMsg,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9924242424242424,446,444,45,123,0.6209677419354839
org.myrobotlab.jme3.Jme3Msg,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,25,23,2,4,0.7777777777777778
org.myrobotlab.jme3.UserDataConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,16,16,2,6,0.0
org.myrobotlab.serial.CRC,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7640810589163595,836,798,41,126,0.46987951807228917
org.myrobotlab.i2c.I2CProxyDisplay,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.chess.HistoryData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.chess.StopSearchingException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.framework.TimeoutException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333333,9,8,3,5,1.0
org.myrobotlab.framework.Peer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,64,62,4,6,0.7333333333333333
org.myrobotlab.framework.MrlException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,8,8,3,5,1.0
org.myrobotlab.framework.StaticType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,113,0,0,0,0.0
org.myrobotlab.framework.QueueStats,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,13,13,3,8,1.0
org.myrobotlab.framework.repo.ServiceArtifact,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,24,24,2,2,0.0
org.myrobotlab.framework.repo.Category,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9097222222222222,40,37,8,23,0.75
org.myrobotlab.framework.repo.ServiceDependency,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.905448717948718,346,333,35,71,0.8442622950819673
org.myrobotlab.framework.repo.ServiceExclude,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,101,101,15,39,1.0
org.myrobotlab.framework.repo.RemoteRepo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,24,24,2,2,0.0
org.myrobotlab.framework.StartYml,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,9,9,1,1,0.5
org.myrobotlab.framework.NameGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.868421052631579,53,47,5,10,0.15789473684210525
org.myrobotlab.framework.Inbox,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7429766414141414,235,178,11,38,0.2916666666666667
org.myrobotlab.framework.RoutingEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,55,51,5,9,0.5714285714285714
org.myrobotlab.framework.Instantiator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9026253918495298,167,153,18,40,0.27586206896551724
org.myrobotlab.framework.CmdOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8556352090556845,267,240,23,59,0.7831325301204819
org.myrobotlab.framework.MRLListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8827531645569621,143,136,10,27,0.569620253164557
org.myrobotlab.framework.MethodEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20445125591688934,436,75,3,7,0.14150943396226415
org.myrobotlab.framework.StatusLevel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.framework.ServiceReservation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,18,17,2,5,0.5
org.myrobotlab.math.MapperLinear,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,358,358,12,39,0.7087719298245614
org.myrobotlab.math.MathUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8889850337495417,456,421,27,44,0.7713414634146342
org.myrobotlab.math.MapperSimple,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9943181818181819,463,462,27,70,0.9252336448598131
org.myrobotlab.math.MapperBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9566666666666667,363,361,31,80,0.9385964912280702
org.myrobotlab.math.geometry.Line3df,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,85,83,4,8,0.8163265306122449
org.myrobotlab.math.geometry.PointCloud,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,35,35,6,21,0.5
org.myrobotlab.math.geometry.Point,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,78,76,4,6,0.9574468085106383
org.myrobotlab.math.geometry.Rectangle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,77,75,3,6,0.9811320754716981
org.myrobotlab.math.geometry.Point3df,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,56,54,3,7,0.9696969696969697
org.myrobotlab.math.geometry.Point2df,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8916666666666666,120,115,11,21,0.9333333333333333
org.myrobotlab.math.geometry.Line2df,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,65,63,3,7,0.41379310344827586
org.myrobotlab.kinematics.Pose,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9659090909090909,65,62,9,28,0.8888888888888888
org.myrobotlab.kinematics.Gesture,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6,1,1,1.0
org.myrobotlab.kinematics.Map3D,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5548317383871755,970,437,15,50,0.08163265306122448
org.myrobotlab.kinematics.PoseMove,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,17,17,1,4,0.0
org.myrobotlab.kinematics.Action,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9326923076923077,83,76,6,10,0.5625
org.myrobotlab.kinematics.Point,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9231793630098715,800,781,63,151,0.6065934065934065
org.myrobotlab.kinematics.Matrix,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8808083508384538,1371,1260,70,208,0.4256
org.myrobotlab.kinematics.PositionData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,10,10,1,2,0.0
org.myrobotlab.kinematics.DruppIKSolver,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8554451009895196,905,835,31,95,0.1369629944704381
org.myrobotlab.kinematics.DHLink,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9145833333333333,1369,1356,84,224,0.6264428121720882
org.myrobotlab.kinematics.Map3DPoint,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,8,8,1,1,0.0
org.myrobotlab.kinematics.IKEngine,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.919368868355008,700,679,39,105,0.48254620123203285
org.myrobotlab.codec.json.JsonSerializationException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6,1,1,1.0
org.myrobotlab.codec.json.JsonDeserializationException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6,1,1,1.0
org.myrobotlab.codec.ForeignProcessUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7433888691953208,163,124,16,17,0.36538461538461536
org.myrobotlab.codec.ClassUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.850615721997301,144,123,9,17,0.7894736842105263
org.myrobotlab.document.workflow.WorkflowMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,46,46,8,22,1.0
org.myrobotlab.document.Document,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8507649451070504,364,329,34,97,0.38738738738738737
org.myrobotlab.document.Classification,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8420278288428973,267,204,33,98,0.8888888888888888
org.myrobotlab.document.ClassSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333333,84,82,9,38,0.5
org.myrobotlab.document.xml.RecordingInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9126045150501673,245,225,31,122,0.8434782608695652
org.myrobotlab.document.Classifications,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8440656565656566,96,80,12,53,0.7777777777777778
org.myrobotlab.document.transformer.UniqueFieldValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8680555555555556,69,61,10,33,0.0
org.myrobotlab.document.transformer.ConfigUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,32,27,4,40,0.0
org.myrobotlab.document.transformer.RenameFields,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8229166666666666,78,67,10,59,0.9166666666666666
org.myrobotlab.document.transformer.DivideValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6185079952425003,155,87,7,22,0.02127659574468085
org.myrobotlab.document.transformer.CastValuesToDouble,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7835227272727273,86,71,8,23,0.45
org.myrobotlab.document.transformer.NormalizeFieldNames,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333334,63,56,6,18,0.8571428571428571
org.myrobotlab.document.transformer.MathValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3239468044271,144,32,5,11,0.0
org.myrobotlab.document.transformer.WorkflowConfiguration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8758741258741258,124,110,16,37,0.9615384615384616
org.myrobotlab.document.transformer.DictionaryLookup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6117992039295392,149,83,9,35,0.09375
org.myrobotlab.document.transformer.RegexExtractor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8218817204301075,188,157,20,78,0.1935483870967742
org.myrobotlab.document.transformer.DeleteField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8680555555555556,58,51,10,27,0.3333333333333333
org.myrobotlab.document.transformer.DictionaryLoader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.579690170940171,78,38,4,8,0.2222222222222222
org.myrobotlab.document.transformer.RenameField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8036616161616161,68,58,8,25,0.25
org.myrobotlab.document.transformer.StageConfiguration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,82,82,10,26,0.4
org.myrobotlab.document.transformer.AbstractStage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5922619047619048,26,13,5,16,0.0
org.myrobotlab.document.transformer.CreateStaticTeaser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5789285714285715,117,59,9,27,0.023809523809523808
org.myrobotlab.document.transformer.ConnectorConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.859375,38,31,8,14,0.5
org.myrobotlab.document.transformer.XPathExtractor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7966444782732091,319,253,26,92,0.5514018691588785
org.myrobotlab.document.transformer.TruncateFieldValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8913690476190477,147,137,22,80,0.4642857142857143
org.myrobotlab.document.transformer.FormatDate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7953703703703704,94,81,8,30,0.5333333333333333
org.myrobotlab.document.transformer.ZipFieldValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6843402777777778,79,51,6,24,0.16
org.myrobotlab.document.transformer.DropDocument,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7927489177489178,62,51,8,24,0.5
org.myrobotlab.document.transformer.SetStaticFieldValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8854166666666667,89,82,12,36,0.16666666666666666
org.myrobotlab.document.transformer.JoinFieldValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8229166666666666,53,43,8,24,0.4
org.myrobotlab.document.transformer.ParseDate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6328320802005013,124,74,9,35,0.13636363636363635
org.myrobotlab.document.transformer.SumValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7429131540973646,130,99,9,43,0.3939393939393939
org.myrobotlab.document.transformer.CopyField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333334,59,52,8,23,0.2857142857142857
org.myrobotlab.document.transformer.Configuration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9331081081081081,231,216,48,151,0.7391304347826086
org.myrobotlab.document.transformer.FetchURI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8491263440860215,97,79,13,36,0.625
org.myrobotlab.document.transformer.MultiplyValues,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7345416236670107,132,100,9,43,0.38235294117647056
org.myrobotlab.document.transformer.JSoupExtractor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8288149350649351,112,93,17,48,0.7272727272727273
org.myrobotlab.document.transformer.CastValuesToInt,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.760011655011655,82,65,9,28,0.36363636363636365
org.myrobotlab.document.transformer.LowercaseFieldNames,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8020833333333334,42,35,5,13,0.75
org.myrobotlab.process.GitHubContent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.process.GitHubRelease,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.reflection.Reflector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8021559378468368,195,154,16,34,0.28
org.myrobotlab.openni.PVector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9013783269961977,1624,1520,153,390,0.7011278195488722
org.myrobotlab.openni.PMatrix3D,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9005414878442138,744,716,87,209,0.11430347399682299
org.myrobotlab.openni.OpenNiData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.openni.Skeleton,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,21,21,1,1,1.0
org.myrobotlab.image.Convert,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6473318561001042,295,171,10,19,0.5182481751824818
org.myrobotlab.image.Algorithm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8472551463529497,649,544,15,44,0.29707112970711297
org.myrobotlab.image.ColoredPoint,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8758410973084886,142,125,12,38,0.8405797101449275
org.myrobotlab.image.SerializableImage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8249889646869983,333,244,26,65,0.38
org.myrobotlab.arduino.BoardInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.983125,172,169,20,74,0.86
org.myrobotlab.arduino.BoardType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,67,66,13,35,1.0
org.myrobotlab.arduino.DeviceSummary,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,27,25,1,2,0.9090909090909091
org.myrobotlab.arduino.virtual.ListNode,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5,1,1,1.0
org.myrobotlab.arduino.virtual.Wire,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,55,53,10,10,1.0
org.myrobotlab.arduino.virtual.Pin,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,75,74,4,5,0.9818181818181818
org.myrobotlab.arduino.virtual.HardwareSerial,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9285714285714286,50,46,7,15,1.0
org.myrobotlab.arduino.virtual.HardwareMotor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,15,15,2,4,1.0
org.myrobotlab.service.interfaces.PinDefinition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9261276940682815,731,716,69,169,0.9116883116883117
org.myrobotlab.service.interfaces.ServoEvent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,33,31,2,5,0.9230769230769231
org.myrobotlab.service.interfaces.VideoProcessWorker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.923611111111111,65,59,9,30,0.5454545454545454
